y,text,text_pt,processed_text,sentiment_label
negative,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200","(ADP News) - 4 de fevereiro de 2009 - A empresa finlandesa de sistemas e soluções de comunicação de dados em banda larga Teleste Oyj (HEL: TLT1V) disse hoje que seu lucro líquido diminuiu para EUR 5,5 milhões (US $ 7,2 milhões) em 2008 de EUR 9,4 milhões para 200",adp news feb finnish broadband data communication system solution company teleste oyj hel tltv say today net profit decrease eur million usd eur million,1
neutral,"The Division also includes joint sales , marketing and controlling functions for these units .","A Divisão também inclui vendas conjuntas, marketing e funções de controle para essas unidades.",division also include joint sale market control function unit,2
neutral,"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .","O anticorpo, administrado em doses repetidas de até 8 mg-kg, foi geralmente bem tolerado e as características farmacocinéticas do BTT-1023 em pacientes com psoríase foram consistentes com as observadas em um estudo previamente concluído em pacientes com AR com artrite reumatoide.",antibody administer repeated dos mgkg generally well tolerate pharmacokinetic characteristic btt psoriasis patient consistent observe previously complete study rheumatoid arthritis ra patient,2
neutral,"Germany 's innovational centers are united in focusing at companies , which aim at use of technologies and development of new kinds of activity , through supporting the beginner companies with the entire spectrum of their services .","Os centros de inovação da Alemanha estão unidos no foco nas empresas, que visam o uso de tecnologias e o desenvolvimento de novos tipos de atividades, apoiando as empresas iniciantes em todo o espectro de seus serviços.",germany innovational center unite focus company aim use technology development new kind activity support beginner company entire spectrum service,2
neutral,The company has an annual turnover of EUR32 .8 m.,"A empresa tem um faturamento anual de EUR32,8 milhões.",company annual turnover eur,2
neutral,Odell has not contacted the State of Finland in this issue .,Odell não contatou o Estado da Finlândia nesta questão.,odell contact state finland issue,2
neutral,"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .","A empresa projeta, fabrica e comercializa produtos compostos avançados para aplicações industriais e bens de consumo, como bastões de cross-country, alpine e Nordic Walking, bastões de bola de chão e radomes de antena.",company design manufacture market advance composite product industrial application consumer good crosscountry alpine nordic walking pole floorball stick antenna radome,2
neutral,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .","Após a reestruturação, a capacidade média da máquina de papel da UPM na Europa será de 320.000 toneladas (350.000 toneladas curtas) em papel revestido para revistas e 420.000 toneladas (460.000 toneladas curtas) em papel fino revestido.",restructure upm average paper machine capacity europe ton short ton coat magazine paper ton short ton coat fine paper,2
positive,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .","A Adanac Molybdenum, do Canadá, encomendou tecnologia de trituração para seu projeto de molibdênio na Colúmbia Britânica, Canadá, enquanto a Shalkiya Zinc do Cazaquistão assinou um contrato para tecnologia de trituração para o projeto de zinco-chumbo Shalkiya no Cazaquistão.",adanac molybdenum canada order grind technology molybdenum project british columbia canada shalkiya zinc kazakhstan award contract grind technology shalkiya zinclead project kazakhstan,0
neutral,The Company said that previously EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .,"A empresa disse que anteriormente a EB entregou uma solução personalizada para a LG Electronics e agora a está disponibilizando comercialmente para outros fornecedores de terminais móveis, bem como para operadoras sem fio.",company say previously eb deliver custom solution lg electronics make commercially available mobile terminal vendor well wireless operator,2
neutral,"Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale .","Citigroup, Inc NYSE: C, Deutsche Bank NYSE: DB e Pohjola Bank são os principais gerentes da venda.",citigroup inc nyse c deutsche bank nyse db pohjola bank lead manager sale,2
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","O justo valor da carteira de imóveis duplicou com a aquisição da Kapiteeli e totalizou 2.686,2 1.259,7 milhões de euros.",fair value property portfolio double result kapiteeli acquisition total eur million,0
positive,Sales in Finland rose by 3.9 % and international growth was 0.7 % .,"As vendas na Finlândia aumentaram 3,9% e o crescimento internacional foi de 0,7%.",sale finland rise international growth,0
neutral,Raisio is the site of the main production plants as well as company headquarters .,Raisio é a sede das principais unidades de produção e da sede da empresa.,raisio site main production plant well company headquarters,2
positive,`` Our design team has long admired Marimekko 's vivid patterns and colors .,“Nossa equipe de design há muito admira os padrões e cores vivas da Marimekko.,design team long admire marimekko vivid pattern color,0
positive,These companies will be able to keep their market positions .,Essas empresas conseguirão manter suas posições de mercado.,company able keep market position,0
neutral,"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .","A empresa opera seus negócios por meio de dois segmentos reportáveis, incluindo Serviços Bancários e de Investimento e Seguros Não Vida.",company operate business two reportable segment include banking investment service nonlife insurance,2
negative,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,"A empresa informou hoje um prejuízo operacional de EUR0,1 milhão em vendas líquidas de EUR4,5 milhões no primeiro trimestre de 2008.",company report today operate loss eur net sale eur first quarter,1
positive,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .","A Kesko Agro Eesti, varejista e atacadista de grãos, máquinas agrícolas e de armazenamento e acessórios, teve vendas líquidas de 81 milhões de euros em 2007, um aumento de um décimo em relação ao ano anterior.",kesko agro eesti retailer wholesaler grain agricultural warehouse machinery accessory net sale million euros increase onetenth precede year,0
neutral,"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .","A Kesko tem cerca de 2.000 lojas envolvidas em operações de rede nos países nórdicos e bálticos, Rússia e Bielo-Rússia.",kesko store engage chain operation nordic baltic country russia belarus,2
neutral,Another problem is cola-flavoured long drinks .,Outro problema são os long drinks com sabor de cola.,another problem colaflavoured long drink,2
neutral,Satama and Trainers ' House will remain as names and independent brands of the business areas .,A Satama e a Trainers 'House permanecerão como nomes e marcas independentes das áreas de negócios.,satama trainer house remain names independent brand business area,2
positive,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,"O desenvolvedor de software finlandês Done Solutions Oyj disse que seu lucro líquido aumentou para 3,5 milhões de euros (US $ 4,6 milhões) em 2006, de 2,3 milhões de euros (US $ 3,0 milhões) em 2005.",finnish software developer do solution oyj say net profit increase mln euro mln mln euro mln,0
negative,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .","O lucro operacional comparável totalizou EUR 4,7 milhões, abaixo dos EUR 5,1 milhões no período correspondente em 2005, representando 7,4% das vendas líquidas.",comparable operating profit total eur mn eur mn corresponding period represent net sale,1
positive,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .","As duas empresas também farão parceria no desenvolvimento da marca de redução de colesterol da Raiso, Benecol.",two company also partner develop raiso cholesterol lower brand benecol,0
neutral,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .","Os clientes acenam com os cartões na frente do leitor para fazer pagamentos, semelhantes aos cartões ""tocar e seguir"" usados em sistemas de transporte.",customer wave card front reader make payment similar touch go card use transport system,2
positive,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .","De acordo com o presidente e CEO da Atria, Matti Tikkakoski, as operações da empresa na Suécia melhoraram significativamente no primeiro trimestre.",accord atrium president ceo matti tikkakoski company swedish operation significantly improve first quarter,0
neutral,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .","Este pedido, quando entregue, trará a produção total de eletricidade na Itália gerada pelo equipamento Wartsila para mais de 1.300 MW.",order deliver bring total output electricity italy generate wartsila equipment mw,2
negative,"Cuts equivalent to the costs of about 35-45 employees are the target , the company said .","Os cortes equivalentes aos custos de cerca de 35-45 funcionários são a meta, disse a empresa.",cut equivalent cost employee target company say,1
neutral,"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .","Sukhraj Dulai, do bloco 2.900 de Boni Sue Court, um beco sem saída no lado norte da cidade, deu partida no veículo e entrou em sua casa por volta das 8h de terça-feira, deixando a porta da garagem aberta.",sukhraj dulai block boni sue court culdesac city north side start vehicle go inside house tuesday leave garage door open,2
positive,"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .","O negócio de importação e varejo de carros da Kesko, VV-Auto, viu as vendas crescerem 17,1 por cento.",kesko car import retailing business vvauto saw sale grow pct,0
neutral,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .","De acordo com o plano de fusão original, a Scanfil teria uma participação de 79% no negócio combinado.",accord original merger plan scanfil would get stake combine business,2
positive,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .","Para nossos membros e parceiros, o uso de TI ficará mais evidente no aumento da eficiência do serviço de resultados '', observa Perttu Puro da Tradeka.",member partner use mostly apparent increase efficiency result service observe perttu puro tradeka,0
negative,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,A maioria do pessoal da empresa na Finlândia é dispensada temporariamente de uma a seis semanas no período de fevereiro a junho de 2009.,majority company personnel finland temporarily lay one six week period february june period,1
neutral,`` This could be us .,`` Isso poderia ser nós.,could u,2
neutral,The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,"O módulo principal do Rádio Remoto estará disponível com potência de 4W para as bandas de frequência TDD de 2,5 GHz e 3,5 GHz.",remote radio head module available w power ghz ghz tdd frequency band,2
positive,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,"As ações subiram pelo terceiro dia na terça-feira, trazendo sua alta de três dias para GBX10,50 ou 1,8%.",stock rise third day tuesday bring threeday rise gbx,0
neutral,The agreement is valid for four years .,O contrato é válido por quatro anos.,agreement valid four year,2
positive,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,"O resultado operacional, incluindo itens não recorrentes, aumentou para EUR 146 milhões, de uma perda de EUR 267 milhões em 2009.",operate result include nonrecurring item rise eur mn loss eur mn,0
neutral,It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,Possui cerca de 30 escritórios em todo o mundo e mais de 90 por cento de suas vendas líquidas são geradas fora da Finlândia.,office worldwide pct net sale generate outside finland,2
positive,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .","No período do relatório, as vendas líquidas aumentaram 8% ano-a-ano para EUR 64,3 milhões, devido às aquisições de negócios realizadas durante o primeiro semestre de 2008-09, cujo efeito foi de EUR 10,9 milhões no período em análise .",report period net sale rise yearonyear eur due business acquisition realize first half effect eur review period,0
neutral,"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .","Helsinque 19 de maio de 2010 - A empresa finlandesa Lemminkainen Oyj (HEL: LEM1S) disse hoje que vai construir um prédio de escritórios em Toolonlahti no centro de Helsinque, sem divulgar detalhes financeiros.",helsinki may finnish company lemminkainen oyj hel lems say today construct office building toolonlahti downtown helsinki without disclose financial detail,2
positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .","O lucro operacional e as vendas líquidas para o período de seis meses aumentaram, respectivamente, de EUR0,4 me EUR3,2 milhões, em comparação com o período correspondente em 2005.",operating profit net sale sixmonth period increase respectively eur eur compare corresponding period,0
neutral,"The contract traded at an all-time high of $ 50,200 a ton on April 24 .","O contrato foi negociado com a maior alta de US $ 50,2 mil a tonelada em 24 de abril.",contract trade alltime high ton april,2
negative,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","Em 1411 CET, a ArcelorMittal havia perdido 7,26% para EUR 17,38 na Euronext Paris, chegando à liderança das empresas que caíram no mercado.",cet arcelormittal lose eur euronext paris come lead bluechip faller,1
neutral,"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .","Os membros da Dopplr compartilham planos de viagens pessoais e de negócios em particular com suas redes e destacam lugares interessantes para ficar, comer e explorar em cidades ao redor do mundo.",dopplr member share personal business travel plan privately network highlight interesting place stay eat explore city around world,2
neutral,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,"A Neste Shipping é a empresa com maior probabilidade de permanecer finlandês, já que o setor de petróleo e seus transportes são importantes para o abastecimento de emergência.",neste ship likely remain finnish oil sector transport significant emergency supply,2
positive,"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .","No segundo trimestre de 2010, a perda antes dos impostos do grupo diminuiu de EUR 600.000 para EUR 400.000.",second quarter group pretax loss narrow eur eur,0
neutral,"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka Mi","(ADP News) - 3 de novembro de 2008 - A empresa finlandesa de papel, embalagens e produtos florestais Stora Enso Oyj (OMX: STERV) disse hoje que investirá EUR 137 milhões (US $ 176,6 milhões) na construção de uma usina elétrica em Ostroleka Mi",adp news nov finnish paper packaging forest product company stora enso oyj omx sterv say today would invest eur million usd build power plant ostroleka mi,2
positive,"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .","Para garantir baixo custo operacional para redes de rádio, os módulos BTS podem ser configurados, atualizados por software e diagnosticados remotamente.",ensure low operational cost radio network bts module configure software upgrade diagnose remotely,0
positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,A Nokia e a Elisa trabalharão juntas para oferecer uma experiência de jogo móvel superior para os clientes da Elisa.,nokia elisa work together bring superior mobile game experience elisa customer,0
neutral,Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,"O conselho de administração da Vaisala proporá um dividendo de 0,85 euro $ 1,24 por ação na assembleia geral anual da empresa.",vaisala board director propose dividend euro per share company annual general meeting,2
positive,"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .","Quando a situação se normalizar, a empresa poderá aumentar a quantidade de unidades residenciais à venda em São Petersburgo e Moscou, em particular.",situation normalises company able increase amount residential unit sale st petersburg moscow particular,0
positive,"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .","O lucro operacional totalizou EUR 83,0 milhões, acima dos EUR 23,5 milhões ano-a-ano.",operating profit total eur mn eur mn yearonyear,0
negative,Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .,"O cash flow operacional após investimentos totalizou 61,3 milhões de euros, face a 75,3 milhões de euros no período correspondente em 2007.",operating cash flow investment total eur mn compare eur mn correspond period,1
negative,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .","Os preços das matérias-primas subiram no ano passado, alimentados em parte por causa da rápida industrialização da China, Índia e outras nações em desenvolvimento.",raw material price surge past year fuel part rapid industrialization china india develop nation,1
neutral,"The company reported net sales of EUR550m in 2005 and had some 3,200 employees .",A empresa registrou vendas líquidas de EUR550 milhões em 2005 e tinha cerca de 3.200 funcionários.,company report net sale eurm employee,2
neutral,"In 2007 , Etteplan had turnover of EUR125 .2 m.","Em 2007, a Etteplan teve um faturamento de 125,2 milhões de euros.",etteplan turnover eur,2
neutral,No changes in media activity were seen in October compared with September .,Nenhuma mudança na atividade da mídia foi observada em outubro em comparação com setembro.,change medium activity see october compare september,2
positive,The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,"O contrato foi assinado em agosto com a Lihir Gold Ltd ASX: LGL, de Papua Nova Guiné.",contract sign august papua new guineabased lihir gold ltd asx lgl,0
neutral,"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",As Américas representam 25% do faturamento da Gemalto e a América Latina é uma das regiões de crescimento mais rápido para a empresa.,america represent gemalto billing latin america one fast grow region company,2
neutral,"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .","Atualmente, as iscas Terminator são produzidas em uma instalação de subcontratação no México, mas a fabricação será transferida para a fábrica da Rapala em Shenzhen, China.",currently terminator lure produce subcontract facility mexico manufacturing transfer rapala factory shenzhen china,2
neutral,"Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community .","Wayne Greensmith, gerente de marca sênior da Fiskars Brands UK, disse: `` Lançamos isso porque queremos dar algo em troca para a comunidade.",wayne greensmith fiskars brand uk senior brand manager say launch want give something back community,2
neutral,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","Nossos clientes vêm dos seguintes países: Reino Unido, EUA, Espanha, França, Itália, Alemanha, China, Hong Kong, Suécia, Noruega, Holanda, Áustria, Bélgica, Suíça, República Tcheca, Finlândia, Canadá, Rússia, Ucrânia, Dinamarca, Irlanda, Coreia do Sul e Liechtenstein.",customer come follow country uk usa spain france italy germany china hong kong sweden norway netherlands austria belgium switzerland czech republic finland canada russia ukraine denmark ireland south korea liechtenstein,2
neutral,"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .","Ela fabrica uma ampla variedade de dispositivos móveis com serviços e software que permitem às pessoas experimentar música, navegação, vídeo, televisão, imagem, jogos e mobilidade empresarial.",make wide range mobile device service software enable people experience music navigation video television image game business mobility,2
positive,Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,"A Componenta aumentou sua participação na siderúrgica turca Doktas Dokumculuk Ticaret ve Sanayi A.S. para 92,6 por cento de participação em março de 2007.",componenta increase stake turkish steel company doktas dokumculuk ticaret sanayi pct stake march,0
neutral,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,Os guindastes seriam instalados a bordo de dois cargueiros encomendados pelo armador de Singapura Masterbulk.,crane would instal onboard two freighter order singaporean ship owner masterbulk,2
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .","No quarto trimestre de 2008, as vendas líquidas aumentaram 2% para EUR 1.050,7 milhões de EUR 1.027,0 milhões no quarto trimestre de 2007.",fourth quarter net sale increase eur mn eur mn fourth quarter,0
neutral,"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .","Após a divisão, a empresa teria 26.885.540 ações da Série A e 9.540.000 ações da Série K.",split company would series share series k share,2
neutral,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .","As empresas cotadas na Suécia, Finlândia e Dinamarca estão organizadas em três segmentos de capitalização de mercado, Nordic Large Cap, Mid Cap e Small Cap.",swedish finnish danish list company organize three market cap segment nordic large cap mid cap small cap,2
negative,The real estate company posted a net loss of +à  x201a -ı 59.3 million +à  x201a -ı 0.21 per share compared with a net profit of +à  x201a -ı 31 million +à  x201a -ı 0.11 per share for the corresponding quarter of 2007 .,"A imobiliária registrou um prejuízo líquido de + à x201a -ı 59,3 milhões + à x201a -ı 0,21 por ação em comparação com um lucro líquido de + à x201a -ı 31 milhões + à x201a -ı 0,11 por ação para o trimestre correspondente de 2007",real estate company post net loss xa million xa per share compare net profit xa million xa per share corresponding quarter,1
neutral,"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .","Kaupthing prevê que a finlandesa-sueca Stora Enso feche sua fábrica em Reisholz, na Alemanha.",kaupthing forecast finnishswedish stora enso close mill reisholz germany,2
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","A Technopolis planeja desenvolver em etapas uma área não inferior a 100 mil metros quadrados para hospedar empresas que atuam em tecnologias de informática e telecomunicações, afirma o comunicado.",technopolis plan develop stage area less square meter order host company work computer technology telecommunications statement say,2
positive,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .","Tanto o lucro operacional quanto as vendas líquidas para o período de seis meses aumentaram, respectivamente, de EUR13,8 milhões e EUR143,6 milhões, em comparação com o período correspondente em 2007.",operating profit net sale sixmonth period increase respectively eur eur compare corresponding period,0
neutral,"The third applicant , Fortum , was dropped .","O terceiro requerente, Fortum, foi retirado.",third applicant fortum drop,2
neutral,Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,Nosso relatório Conservas em conserva na Finlândia oferece um guia abrangente sobre o tamanho e a forma do mercado em nível nacional.,cannedpreserved food finland report offer comprehensive guide size shape market national level,2
neutral,"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .","A Metso é um fornecedor global de tecnologia e serviços sustentáveis para mineração, construção, geração de energia, automação, reciclagem e indústrias de papel e celulose.",metso global supplier sustainable technology service mining construction power generation automation recycle pulp paper industry,2
positive,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .","A Metsaliitto, no entanto, reduziu seu prejuízo líquido no segundo trimestre de 2007 para 5,0 milhões de euros, US $ 6,9 milhões, de 61 milhões de euros, US $ 83,7 milhões um ano atrás.",metsaliitto however narrowed net loss second quarter mln euro mln mln euro mln year ago,0
negative,Net sales dropped by 6 % year-on-year to EUR 11.9 million .,"As vendas líquidas caíram 6% em relação ao ano anterior, para 11,9 milhões de euros.",net sale drop yearonyear eur million,1
negative,"Kiosk and cinema operations have suffered , in particular .","As operações de quiosque e cinema sofreram, em particular.",kiosk cinema operation suffer particular,1
neutral,Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski .,A Neomarkka tem desempenhado um papel de liderança em um grupo que visa reiniciar a produção de fibras especiais de celulose em Valkeakoski.,neomarkka play leading role group aim restart production specialty cellulose fiber valkeakoski,2
negative,"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy .","A fabricante finlandesa de processamento de pedra-sabão e lareiras Tulikivi Oyj disse em 26 de fevereiro de 2007 que cortaria menos de 20 empregos em sua organização de vendas de lareiras, instalações de produção e sua subsidiária Kermansavi Oy.",finnish soapstone processing fireplace maker tulikivi oyj say february would cut less job fireplace sale organization production facility subsidiary kermansavi oy,1
positive,"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .","O novo escritório, localizado em Shenzhen, fortalecerá a presença da Vaisala, que já tem 10 anos, na China.",new office locate shenzhen strengthen vaisala already year old presence china,0
positive,Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,"O lucro antes dos impostos aumentou para 0,6 milhões de euros de 0,4 milhões de euros no período correspondente em 2005.",pretax profit rise eur mn eur mn correspond period,0
negative,It is the most awkward thing to use if you 're holding the phone with one hand .,É a coisa mais difícil de usar se você estiver segurando o telefone com uma das mãos.,awkward thing use hold phone one hand,1
positive,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,Validar nosso cliente fgVoIP por meio do Symbian Signed representa um passo significativo para atingir esse objetivo.,validate fgvoip client symbian sign represent significant step forward accomplish goal,0
negative,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .","No comércio alimentar, as vendas ascenderam a 320,1 milhões de euros, uma queda de 1,1%.",food trade sale amount eur decline,1
negative,"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .","As vendas externas líquidas do negócio gráfico caíram 43,7%, em parte devido à rescisão do contrato de impressão entre a gráfica I-print Oy de Ilkka-Yhtyma e o player do setor HSS Media AB em dezembro de 2009 e a queda nos preços de impressão.",external net sale print business fell partly due termination printing contract ilkkayhtyma printing house iprint oy sector player hss medium ab december fall printing price,1
positive,"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .","A decisão de vender uma participação na Lenenergo foi alcançada em linha com os planos estratégicos da Fortum de investir principalmente na geração de ativos na Rússia, enquanto a Lenenergo é uma empresa de rede, disse o comunicado à imprensa.",decision sell share lenenergo reach line fortum strategic plan invest mainly generate asset russia lenenergo grid company press release say,0
negative,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .","O lucro operacional no semestre foi de 0,8 milhões, abaixo dos 0,9 milhões com o investimento da Glisten na marca e na equipe de gestão.",operate profit half glisten invest brand management team,1
